"","sample","Cell_A","Cell_A_num","Cell_A_count","Cell_B","Cell_B_num","Cell_B_count ","original_CLQ","percentile","significant"
"135","lepidic_58.6","PanCK-Vim-MUC1+","8","12","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","158.217948717949","1",TRUE
"136","lepidic_58.6","PanCK-Vim-MUC1+","8","12","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","0","0.002",TRUE
"137","lepidic_58.6","PanCK-Vim-MUC1+","8","12","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","13.9920634920635","0.288",FALSE
"138","lepidic_58.6","PanCK-Vim-MUC1+","8","12","aSMA+CD90+PDGFRb-PDPN-CAV1-","12","433","7.12528868360277","0.08",FALSE
"139","lepidic_58.6","PanCK-Vim-MUC1+","8","12","aSMA+CD90-PDGFRb-PDPN-CAV1+","13","283","36.3398115429918","0.972",TRUE
"140","lepidic_58.6","PanCK-Vim-MUC1+","8","12","aSMA+CD90-PDGFRb-PDPN-CAV1-","14","1966","8.89271787046456","0.004",TRUE
"141","lepidic_58.6","PanCK-Vim-MUC1+","8","12","CD90+PDGFRb-PDPN-CAV1-","15","38","0","0.002",TRUE
"142","lepidic_58.6","PanCK-Vim-MUC1+","8","12","CD90-PDGFRb+PDPN-CAV1-","16","1","0","0.002",TRUE
"143","lepidic_58.6","PanCK-Vim-MUC1+","8","12","CD90-PDGFRb-PDPN+CAV1-","17","30","0","0.002",TRUE
"144","lepidic_58.6","PanCK-Vim-MUC1+","8","12","CD90-PDGFRb-PDPN-CAV1+","18","35","0","0.002",TRUE
"145","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","PanCK+Vim+MUC1+","1","15","15.8217948717949","0.308",FALSE
"146","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","PanCK+Vim+MUC1-","2","2198","11.0133512983831","0",TRUE
"147","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","PanCK+Vim-MUC1+","3","9","26.3696581196581","0.826",FALSE
"148","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","PanCK+Vim-MUC1-","4","1916","8.17514453187731","0",TRUE
"149","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","PanCK-Vim-MUC1-","5","446","30.3310193170059","1",TRUE
"150","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","PanCK-Vim+MUC1+","6","9","158.217948717949","1",TRUE
"151","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","PanCK-Vim+MUC1-","7","765","22.9571141277024","0.998",TRUE
"152","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","PanCK-Vim-MUC1+","8","12","158.217948717949","1",TRUE
"153","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","311.782428355958","1",TRUE
"154","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","0","0.002",TRUE
"155","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","30.6749084249084","1",TRUE
"156","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","aSMA+CD90+PDGFRb-PDPN-CAV1-","12","433","16.9910730147451","0.464",FALSE
"157","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","aSMA+CD90-PDGFRb-PDPN-CAV1+","13","283","32.7058303886926","1",TRUE
"158","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","aSMA+CD90-PDGFRb-PDPN-CAV1-","14","1966","13.0372877376947","0.004",TRUE
"159","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","CD90+PDGFRb-PDPN-CAV1-","15","38","0","0.002",TRUE
"160","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","CD90-PDGFRb+PDPN-CAV1-","16","1","0","0.002",TRUE
"161","lepidic_58.6","aSMA+CD90+PDGFRb+PDPN+CAV1+","9","52","CD90-PDGFRb-PDPN+CAV1-","17","30","7.91089743589744","0.124",FALSE
